"","MSSubClass","MSZoning","Alley","Neighborhood","BldgType","OverallQual","Foundation","BsmtQual","BsmtFinType1","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","GrLivArea","FullBath","KitchenQual","TotRmsAbvGrd","Fireplaces","GarageFinish","GarageCars","PavedDrive","SaleCondition","SalePrice"
"1",60,"RL","0","CollgCr","1Fam",7,"PConc","3","3","Gas","Ex","Y","SBrkr",856,854,1710,2,"Gd",8,"0","2",2,"Y","Normal",208500
"2",20,"RL","0","Veenker","1Fam",6,"CBlock","3","1","Gas","Ex","Y","SBrkr",1262,0,1262,2,"TA",6,"1","2",2,"Y","Normal",181500
"3",60,"RL","0","CollgCr","1Fam",7,"PConc","3","3","Gas","Ex","Y","SBrkr",920,866,1786,2,"Gd",6,"1","2",2,"Y","Normal",223500
"4",70,"RL","0","Crawfor","1Fam",7,"BrkTil","4","1","Gas","Gd","Y","SBrkr",961,756,1717,1,"Gd",7,"1","3",3,"Y","Abnorml",140000
"5",60,"RL","0","NoRidge","1Fam",8,"PConc","3","3","Gas","Ex","Y","SBrkr",1145,1053,2198,2,"Gd",9,"1","2",3,"Y","Normal",250000
"6",50,"RL","0","Mitchel","1Fam",5,"Wood","3","3","Gas","Ex","Y","SBrkr",796,566,1362,1,"TA",5,"0","3",2,"Y","Normal",143000
"7",20,"RL","0","Somerst","1Fam",8,"PConc","1","3","Gas","Ex","Y","SBrkr",1694,0,1694,2,"Gd",7,"1","2",2,"Y","Normal",307000
"8",60,"RL","0","NWAmes","1Fam",7,"CBlock","3","1","Gas","Ex","Y","SBrkr",1107,983,2090,2,"TA",7,"1","2",2,"Y","Normal",200000
"9",50,"RM","0","OldTown","1Fam",7,"BrkTil","4","6","Gas","Gd","Y","0",1022,752,1774,2,"TA",8,"1","3",2,"Y","Abnorml",129900
"10",190,"RL","0","BrkSide","2fmCon",5,"BrkTil","4","3","Gas","Ex","Y","SBrkr",1077,0,1077,1,"TA",5,"1","2",1,"Y","Normal",118000
"11",20,"RL","0","Sawyer","1Fam",5,"CBlock","4","5","Gas","Ex","Y","SBrkr",1040,0,1040,1,"TA",5,"0","3",1,"Y","Normal",129500
"12",60,"RL","0","NridgHt","1Fam",9,"PConc","1","3","Gas","Ex","Y","SBrkr",1182,1142,2324,3,"Ex",11,"1","1",3,"Y","Partial",345000
"13",20,"RL","0","Sawyer","1Fam",5,"CBlock","4","1","Gas","TA","Y","SBrkr",912,0,912,1,"TA",4,"0","3",1,"Y","Normal",144000
"14",20,"RL","0","CollgCr","1Fam",7,"PConc","3","6","Gas","Ex","Y","SBrkr",1494,0,1494,2,"Gd",7,"1","2",3,"Y","Partial",279500
"15",20,"RL","0","NAmes","1Fam",6,"CBlock","4","2","Gas","TA","Y","SBrkr",1253,0,1253,1,"TA",5,"1","2",1,"Y","Normal",157000
"16",45,"RM","0","BrkSide","1Fam",7,"BrkTil","4","6","Gas","Ex","Y","0",854,0,854,1,"TA",5,"0","3",2,"Y","Normal",132000
"17",20,"RL","0","NAmes","1Fam",6,"CBlock","4","1","Gas","Ex","Y","SBrkr",1004,0,1004,1,"TA",5,"1","1",2,"Y","Normal",149000
"18",90,"RL","0","Sawyer","Duplex",4,"Slab","0","0","Gas","TA","Y","SBrkr",1296,0,1296,2,"TA",6,"0","3",2,"Y","Normal",90000
